Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
Beautiful Disaster,"McGuire, Jamie",Florida,St. John's County School District,Jan-23,Banned Pending Investigation,Formal Challenge
Bed of Roses,"Roberts, Nora",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
Beetle and the Hollowbones,"Layne, Aliza",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Beetle and the Hollowbones,"Layne, Aliza",Florida,Escambia County Public Schools,Apr-23,Banned Pending Investigation,Formal Challenge
Before I Die,"Downham, Jenny",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Before I Let Go,"Ryan, Kennedy",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Before She Was Harriet,"Cline-Ransome, Lesa",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Being Transgender,"Rodi, Robert",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Beloved,"Morrison, Toni",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Beloved,"Morrison, Toni",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Beloved,"Morrison, Toni",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Beloved,"Morrison, Toni",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Beloved,"Morrison, Toni",Florida,Highlands Schools,Sep-22,Banned Pending Investigation,Informal Challenge
Beloved,"Morrison, Toni",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Beloved,"Morrison, Toni",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Beloved,"Morrison, Toni",Florida,Okaloosa County Schools District,Jan-23,Banned Pending Investigation,Administration
Beloved,"Morrison, Toni",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
Best Friends for Never,"Venable, Colleen A. F.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Better Nate Than Ever,"Federle, Tim",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Between the World and Me,"Coates, Ta-Nehisi",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Bible ABC,"Metaxas, Eric",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Bible Lands,"Tubb, Jonathan N.",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Bible Questions & Answers,"Pickering, David",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Bible Stories for Children,"Parker, Victoria",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Big Bob, Little Bob","Howe, James",Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
Bingo Love #1,"Franklin, Tee",Florida,Escambia County Public Schools,Jun-23,Banned Pending Investigation,Formal Challenge
Bitterblue,"Cashore, Kristin",Florida,Bay District Schools,Feb-23,Banned from Libraries,Formal Challenge
Black Boy Joy: 17 Stories Celebrating Black Boyhood,"Mbalia, Kwame",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Black Brother, Black Brother","Parker Rhodes, Jewell",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Black Brother, Black Brother","Parker Rhodes, Jewell",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Black Enough: Stories of Being Young & Black in America,"Zoboi, Ibi",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
